fid,type,aum_quartile,regulatory_aum
F0160,wealth_ria,Q3,1312746202.0
F0161,private_fund,Q4,8996276849.0
F0162,private_fund,Q4,4124800000.0
F0163,private_fund,Q2,195906287.0
F0164,wealth_ria,Q4,1472058453.0
F0165,private_fund,Q3,864385000.0
F0166,private_fund,Q1,108289056.0
F0167,private_fund,Q2,353137993.0
F0168,private_fund,Q3,1119555125.0
F0169,private_fund,Q3,683648378.0
F0170,private_fund,Q4,3372318250.0
F0171,private_fund,Q4,5562384758.0
F0172,private_fund,Q2,220004622.0
F0173,private_fund,Q1,39744850.0
F0174,private_fund,Q4,2524505483.0
F0175,private_fund,Q1,164010923.0
F0176,private_fund,Q4,2888606000.0
F0177,private_fund,Q3,1112608988.0
F0178,private_fund,Q3,742343976.0
F0179,private_fund,Q4,13691819689.0
F0180,private_fund,Q1,7464114.0
F0181,private_fund,Q3,591135235.0
F0182,private_fund,Q1,107076998.0
F0183,private_fund,Q1,149790000.0
F0184,private_fund,Q3,522579097.0
F0185,private_fund,Q1,152979340.0
F0186,private_fund,Q3,445921767.0
F0187,wealth_ria,Q2,241444815.0
F0188,wealth_ria,Q4,4243121000.0
F0189,private_fund,Q2,182527714.0
F0190,wealth_ria,Q3,947688692.0
F0191,private_fund,Q3,411827214.0
F0192,private_fund,Q2,216378100.0
F0193,wealth_ria,Q4,8210969354.0
F0194,wealth_ria,Q1,34251440.0
F0195,private_fund,Q3,736585540.0
F0196,wealth_ria,Q3,506774284.0
F0197,wealth_ria,Q1,71692943.0
F0198,wealth_ria,Q3,644687000.0
F0199,wealth_ria,Q4,2892462654.0
F0200,private_fund,Q1,148390029.0
F0201,wealth_ria,Q1,91000494.0
F0202,private_fund,Q2,356693198.0
F0203,private_fund,Q4,5209091318.0
F0204,private_fund,Q3,572146973.0
F0205,wealth_ria,Q2,174390288.0
F0206,private_fund,Q4,5044156635.0
F0207,wealth_ria,Q2,293810047.0
F0208,private_fund,Q3,1091602719.0
F0209,wealth_ria,Q2,322261339.0
F0210,private_fund,Q2,319817488.0
F0211,wealth_ria,Q2,199313862.0
F0212,wealth_ria,Q2,273136000.0
F0213,wealth_ria,Q4,1973990155.0
F0214,wealth_ria,Q3,616851354.0
F0215,private_fund,Q2,234578000.0
F0216,wealth_ria,Q3,716804745.0
F0217,wealth_ria,Q2,175534932.0
F0218,private_fund,Q2,216898385.0
F0219,wealth_ria,Q3,849444731.0
F0220,private_fund,Q3,740543488.0
F0221,wealth_ria,Q1,126000000.0
F0222,wealth_ria,Q4,5188569240.0
F0223,private_fund,Q4,4070000000.0
F0224,wealth_ria,Q3,424753741.0
F0225,private_fund,Q1,162600664.0
F0226,wealth_ria,Q1,134738147.0
F0227,wealth_ria,Q2,381000000.0
F0228,private_fund,Q3,443116761.0
F0229,wealth_ria,Q4,1851515819.0
F0230,private_fund,Q2,252869043.0
F0231,wealth_ria,Q2,266041604.0
F0232,private_fund,Q2,192226034.0
F0233,wealth_ria,Q1,128404480.0
F0234,private_fund,Q4,7303270045.0
F0235,private_fund,Q1,103036237.0
F0236,private_fund,Q1,169820000.0
F0237,private_fund,Q2,238934974.0
F0238,private_fund,Q2,198964717.0
F0239,private_fund,Q1,156409675.0
F0240,private_fund,Q3,1418987297.0
F0241,wealth_ria,Q1,133906031.0
F0242,private_fund,Q2,214652951.0
F0243,private_fund,Q3,620909320.0
F0244,private_fund,Q3,559276956.0
F0245,private_fund,Q2,399995051.0
F0246,private_fund,Q1,77625000.0
F0247,private_fund,Q4,2256138416.0
F0248,private_fund,Q3,597576792.0
F0249,wealth_ria,Q2,184090178.0
F0250,private_fund,Q2,264950239.0
F0251,private_fund,Q3,752295521.0
F0252,private_fund,Q4,1668708323.0
F0253,private_fund,Q3,452387455.0
F0254,wealth_ria,Q2,347746985.0
F0255,private_fund,Q4,11176653668.0
F0256,wealth_ria,Q4,2172777143.0
F0257,private_fund,Q2,218072345.0
F0258,private_fund,Q3,712890579.0
F0259,private_fund,Q3,704606938.0
F0260,wealth_ria,Q3,457187940.0
F0261,wealth_ria,Q1,59112516.0
F0262,private_fund,Q1,165528595.0
F0263,private_fund,Q1,129787427.0
F0264,private_fund,Q3,473886184.0
F0265,wealth_ria,Q4,2768301384.0
F0266,private_fund,Q3,1028545748.0
F0267,private_fund,Q1,7126219.0
F0268,private_fund,Q2,192520619.0
F0269,private_fund,Q3,738045480.0
F0270,private_fund,Q2,329198635.0
F0271,private_fund,Q3,1038441111.0
F0272,wealth_ria,Q1,142424620.0
F0273,wealth_ria,Q4,4932272688.0
F0274,private_fund,Q3,480744995.0
F0275,private_fund,Q3,1233877685.0
F0276,wealth_ria,Q1,129000000.0
F0277,private_fund,Q3,944974583.0
F0278,private_fund,Q2,262072899.0
F0279,private_fund,Q1,168792197.0
F0280,wealth_ria,Q3,1000803506.0
F0281,wealth_ria,Q3,404164092.0
F0282,wealth_ria,Q2,227067342.0
F0283,private_fund,Q2,213161097.0
F0284,private_fund,Q1,143667814.0
F0285,private_fund,Q1,169247322.0
F0286,wealth_ria,Q4,11545251683.0
F0287,private_fund,Q2,202172125.0
F0288,wealth_ria,Q3,516613791.0
F0289,private_fund,Q1,61153215.0
F0290,private_fund,Q2,335675311.0
F0291,wealth_ria,Q3,779493598.0
F0292,wealth_ria,Q3,740408167.0
F0293,wealth_ria,Q4,3931298951.0
F0294,wealth_ria,Q4,2324808200.0
F0295,wealth_ria,Q3,539888380.0
F0296,private_fund,Q1,125341727.0
F0297,private_fund,Q2,199687035.0
F0298,wealth_ria,Q1,101004116.0
F0299,private_fund,Q2,225495361.0
F0300,private_fund,Q1,126000000.0
F0301,wealth_ria,Q3,1315010728.0
F0302,wealth_ria,Q1,4048192.0
F0303,wealth_ria,Q2,197957070.0
F0304,wealth_ria,Q2,338531289.0
F0305,private_fund,Q2,379010763.0
F0306,private_fund,Q2,212494040.0
F0307,wealth_ria,Q3,1119041694.0
F0308,private_fund,Q3,572007880.0
F0309,private_fund,Q1,52830603.0
F0310,private_fund,Q1,77774937.0
F0311,wealth_ria,Q2,294685885.0
F0312,private_fund,Q1,141495854.0
F0313,private_fund,Q3,883438485.0
F0314,wealth_ria,Q3,441389232.0
F0315,wealth_ria,Q1,14705549.0
F0316,wealth_ria,Q1,100350000.0
F0317,private_fund,Q3,439032929.0
F0318,wealth_ria,Q2,227893224.0
F0319,private_fund,Q4,3141971930.0
F0320,wealth_ria,Q1,42791471.0
F0321,private_fund,Q3,1214902308.0
F0322,private_fund,Q2,279478877.0
F0323,wealth_ria,Q3,626488465.0
F0324,private_fund,Q1,18424025.0
F0325,private_fund,Q4,1432300000.0
F0326,private_fund,Q3,401353531.0
F0327,wealth_ria,Q3,470115035.0
F0328,wealth_ria,Q3,411712901.0
F0329,private_fund,Q1,170732755.0
F0330,private_fund,Q3,975462199.0
F0331,private_fund,Q4,2808083351.0
F0332,private_fund,Q1,100961631.0
F0333,wealth_ria,Q2,288801599.0
F0334,private_fund,Q4,1694781488.0
F0335,private_fund,Q2,214167441.0
F0336,private_fund,Q3,472002856.0
F0337,private_fund,Q3,1109618464.0
F0338,private_fund,Q1,128513129.0
F0339,private_fund,Q2,278763827.0
F0340,private_fund,Q2,176174588.0
F0341,private_fund,Q4,1725931743.0
F0342,private_fund,Q2,215904857.0
F0343,private_fund,Q3,437819838.0
F0344,private_fund,Q1,113762393.0
F0345,private_fund,Q1,157408973.0
F0346,private_fund,Q3,415892682.0
F0347,private_fund,Q3,850246644.0
F0348,wealth_ria,Q2,352910837.0
F0349,wealth_ria,Q4,1449845404.0
F0350,wealth_ria,Q1,105438390.0
F0351,wealth_ria,Q1,151897000.0
F0352,wealth_ria,Q2,313196458.0
F0353,wealth_ria,Q1,111606776.0
F0354,private_fund,Q1,86297050.0
F0355,private_fund,Q3,423660103.0
F0356,wealth_ria,Q2,192702234.0
F0357,private_fund,Q4,1632226548.0
F0358,private_fund,Q1,130000000.0
F0359,private_fund,Q2,267352407.0
F0360,private_fund,Q3,683049372.0
F0361,private_fund,Q2,344241480.0
F0362,private_fund,Q1,138306257.0
F0363,private_fund,Q3,584987740.0
F0364,private_fund,Q4,4414053804.0
F0365,wealth_ria,Q2,250960505.0
F0366,wealth_ria,Q4,45754506390.0
F0367,private_fund,Q2,202300000.0
F0368,private_fund,Q1,51000000.0
F0369,wealth_ria,Q2,196580012.0
F0370,private_fund,Q1,118049467.0
F0371,private_fund,Q3,526231937.0
F0372,wealth_ria,Q3,1403127624.0
F0373,private_fund,Q2,219162801.0
F0374,wealth_ria,Q1,129894382.0
F0375,private_fund,Q1,105400000.0
F0376,private_fund,Q2,339560766.0
F0377,wealth_ria,Q2,262675639.0
F0378,private_fund,Q1,162600000.0
F0379,wealth_ria,Q4,2116540646.0
F0380,private_fund,Q2,183378521.0
F0381,private_fund,Q1,36272478.0
F0382,wealth_ria,Q1,124700000.0
F0383,private_fund,Q2,311737441.0
F0384,private_fund,Q3,916385116.0
F0385,private_fund,Q1,105869016.0
F0386,wealth_ria,Q2,299131543.0
F0387,wealth_ria,Q3,949203625.0
F0388,wealth_ria,Q1,125618942.0
F0389,wealth_ria,Q3,400961536.0
F0390,wealth_ria,Q2,312733630.0
F0391,wealth_ria,Q1,115179001.0
F0392,wealth_ria,Q2,180852000.0
F0393,wealth_ria,Q1,0.0
F0394,wealth_ria,Q3,423188815.0
F0395,wealth_ria,Q1,0.0
F0396,private_fund,Q4,1553774222.0
F0397,private_fund,Q1,0.0
F0398,wealth_ria,Q1,2660000.0
F0399,wealth_ria,Q4,1647292121.0
F0400,private_fund,Q2,354342598.0
