fid,b_anyuse,m_anyuse,b_exposed,m_exposed,exposure_gap,anyuse_gap
F0119,0,0,0,0,0,0
F0122,0,0,0,0,0,0
F0123,0,0,0,0,0,0
F0124,0,0,0,0,0,0
F0125,1,1,0,0,0,0
F0127,0,0,0,0,0,0
F0128,0,0,0,0,0,0
F0130,0,0,0,0,0,0
F0131,0,0,0,0,0,0
F0132,1,0,0,0,0,-1
F0133,0,0,0,0,0,0
F0134,0,0,0,0,0,0
F0135,0,1,0,0,0,1
F0137,0,0,0,0,0,0
F0138,0,0,0,0,0,0
F0139,0,0,0,0,0,0
F0140,0,1,0,0,0,1
F0141,0,0,0,0,0,0
F0142,0,0,0,0,0,0
F0144,0,0,0,0,0,0
F0147,0,0,0,0,0,0
F0148,0,0,0,0,0,0
F0149,1,0,0,0,0,-1
F0150,0,0,0,0,0,0
F0152,1,0,0,0,0,-1
F0154,1,0,0,0,0,-1
F0155,1,0,0,0,0,-1
F0156,0,0,0,0,0,0
F0157,0,0,0,0,0,0
F0158,0,0,0,0,0,0
F0159,1,0,0,0,0,-1
F0160,0,0,0,0,0,0
F0161,1,0,0,0,0,-1
F0162,0,0,0,0,0,0
F0164,0,0,0,0,0,0
F0165,0,0,0,0,0,0
F0166,0,0,0,0,0,0
F0167,0,0,0,0,0,0
F0168,1,0,0,0,0,-1
F0169,0,0,0,0,0,0
F0170,1,0,0,0,0,-1
F0171,0,0,0,0,0,0
F0172,0,1,0,1,1,1
F0173,0,0,0,0,0,0
F0174,0,0,0,0,0,0
F0176,0,0,0,0,0,0
F0177,1,0,0,0,0,-1
F0178,1,0,0,0,0,-1
F0181,0,0,0,0,0,0
F0186,0,0,0,0,0,0
F0187,0,0,0,0,0,0
F0189,0,0,0,0,0,0
F0191,0,0,0,0,0,0
F0193,1,0,0,0,0,-1
F0195,0,0,0,0,0,0
F0197,0,0,0,0,0,0
F0200,0,0,0,0,0,0
F0201,0,0,0,0,0,0
F0203,0,0,0,0,0,0
F0204,0,0,0,0,0,0
F0205,0,0,0,0,0,0
F0206,0,0,0,0,0,0
F0207,0,0,0,0,0,0
F0208,0,0,0,0,0,0
F0209,0,0,0,0,0,0
F0210,1,0,1,0,-1,-1
F0211,1,0,0,0,0,-1
F0213,0,0,0,0,0,0
F0214,0,0,0,0,0,0
F0215,0,0,0,0,0,0
F0216,0,0,0,0,0,0
F0217,0,0,0,0,0,0
F0219,0,0,0,0,0,0
F0220,0,1,0,0,0,1
F0221,0,0,0,0,0,0
F0222,0,0,0,0,0,0
F0223,0,0,0,0,0,0
F0225,0,0,0,0,0,0
F0227,0,0,0,0,0,0
F0230,1,0,0,0,0,-1
F0232,0,0,0,0,0,0
F0233,0,0,0,0,0,0
F0234,0,0,0,0,0,0
F0235,1,0,0,0,0,-1
F0236,0,0,0,0,0,0
F0237,0,0,0,0,0,0
F0238,0,0,0,0,0,0
F0239,0,0,0,0,0,0
F0240,1,0,0,0,0,-1
F0244,0,0,0,0,0,0
F0245,0,0,0,0,0,0
F0246,1,0,0,0,0,-1
F0247,0,0,0,0,0,0
F0248,0,0,0,0,0,0
F0249,0,0,0,0,0,0
F0251,0,0,0,0,0,0
F0254,0,0,0,0,0,0
F0256,0,0,0,0,0,0
F0257,1,0,0,0,0,-1
F0258,0,0,0,0,0,0
F0260,0,0,0,0,0,0
F0261,0,0,0,0,0,0
F0262,0,0,0,0,0,0
F0263,1,0,0,0,0,-1
F0264,1,0,0,0,0,-1
F0265,1,0,0,0,0,-1
F0266,0,0,0,0,0,0
F0268,0,0,0,0,0,0
F0269,0,0,0,0,0,0
F0271,1,0,0,0,0,-1
F0272,0,0,0,0,0,0
F0273,0,0,0,0,0,0
F0274,1,0,0,0,0,-1
F0275,1,0,0,0,0,-1
F0276,0,0,0,0,0,0
F0279,0,0,0,0,0,0
F0280,0,0,0,0,0,0
F0281,0,0,0,0,0,0
F0282,0,0,0,0,0,0
F0283,0,0,0,0,0,0
F0284,1,0,0,0,0,-1
F0285,0,0,0,0,0,0
F0286,1,0,0,0,0,-1
F0288,1,1,1,0,-1,0
F0289,0,1,0,0,0,1
F0290,0,1,0,0,0,1
F0292,0,0,0,0,0,0
F0294,0,0,0,0,0,0
F0295,0,1,0,0,0,1
F0297,0,0,0,0,0,0
F0299,0,0,0,0,0,0
F0300,0,0,0,0,0,0
F0302,0,0,0,0,0,0
F0304,0,0,0,0,0,0
F0306,0,0,0,0,0,0
F0307,0,0,0,0,0,0
F0308,1,1,0,0,0,0
F0309,0,0,0,0,0,0
F0310,0,0,0,0,0,0
F0311,1,0,0,0,0,-1
F0312,1,0,0,0,0,-1
F0313,1,0,0,0,0,-1
F0314,1,0,0,0,0,-1
F0315,0,0,0,0,0,0
F0319,0,0,0,0,0,0
F0320,0,0,0,0,0,0
F0321,1,0,0,0,0,-1
F0322,0,0,0,0,0,0
F0323,0,0,0,0,0,0
F0325,1,0,0,0,0,-1
F0328,0,0,0,0,0,0
F0329,0,0,0,0,0,0
F0331,0,0,0,0,0,0
F0332,0,0,0,0,0,0
F0333,0,0,0,0,0,0
F0336,0,0,0,0,0,0
F0338,0,0,0,0,0,0
F0341,1,0,0,0,0,-1
F0344,0,0,0,0,0,0
F0345,0,0,0,0,0,0
F0347,0,0,0,0,0,0
F0353,0,0,0,0,0,0
F0354,0,0,0,0,0,0
F0355,1,1,0,0,0,0
F0356,0,0,0,0,0,0
F0357,1,0,0,0,0,-1
F0358,0,1,0,0,0,1
F0359,0,0,0,0,0,0
F0361,0,0,0,0,0,0
F0362,0,0,0,0,0,0
F0364,1,1,0,0,0,0
F0365,0,0,0,0,0,0
F0366,0,0,0,0,0,0
F0367,1,0,0,0,0,-1
F0369,0,0,0,0,0,0
F0370,0,0,0,0,0,0
F0372,1,0,0,0,0,-1
F0375,0,0,0,0,0,0
F0379,1,0,0,0,0,-1
F0381,0,0,0,0,0,0
F0382,0,0,0,0,0,0
F0385,1,0,0,0,0,-1
F0386,0,0,0,0,0,0
F0387,0,0,0,0,0,0
F0388,1,0,0,0,0,-1
F0390,0,0,0,0,0,0
F0391,0,0,0,0,0,0
F0392,1,0,0,0,0,-1
F0394,0,0,0,0,0,0
F0396,1,0,0,0,0,-1
F0397,0,0,0,0,0,0
F0399,0,0,0,0,0,0
F0400,0,0,0,0,0,0
