fid,a,b,c,d,e
F0252,1,0,1,0,0
F0253,0,0,0,0,0
F0254,0,0,0,0,0
F0255,1,1,1,0,0
F0256,0,0,0,0,0
F0257,1,1,1,1,0
F0258,0,0,0,0,0
F0259,0,1,1,0,0
F0260,0,0,0,0,0
F0261,0,0,0,0,0
F0262,0,0,0,0,0
F0263,1,0,1,0,1
F0264,1,0,1,0,0
F0265,1,0,1,0,1
F0266,0,0,0,0,0
F0267,0,0,0,0,0
F0268,0,0,0,0,0
F0269,0,0,1,0,0
F0270,0,0,0,0,0
F0271,1,0,1,0,0
F0272,0,0,0,0,0
F0273,0,0,0,0,0
F0274,1,0,1,0,1
F0275,0,1,1,0,1
F0276,0,0,0,0,0
F0277,0,0,1,0,0
F0278,0,0,1,0,1
F0279,0,0,0,0,0
F0280,0,0,0,0,0
F0281,0,0,0,0,0
F0282,0,0,0,0,0
F0283,0,0,0,0,0
F0284,0,1,1,0,0
F0285,0,0,0,0,0
F0286,1,0,1,0,0
F0287,0,0,0,0,0
F0288,1,0,1,0,0
F0289,0,0,0,0,0
F0290,0,0,0,0,0
F0292,0,0,0,0,0
F0293,1,0,1,0,0
F0294,0,0,0,0,0
F0295,0,0,0,0,0
F0296,0,0,0,0,0
F0297,0,0,0,0,0
F0298,0,0,0,0,0
F0299,0,0,0,0,0
F0300,0,0,0,0,0
F0302,0,0,0,0,0
F0303,0,0,0,0,0
F0304,0,0,0,0,0
F0305,0,0,0,0,0
F0306,0,0,0,0,0
F0307,0,0,0,0,0
F0308,0,1,1,0,1
F0309,0,0,1,0,0
F0310,0,0,0,0,0
F0311,1,0,0,0,1
F0312,1,0,0,0,0
F0313,1,0,1,0,0
F0314,1,0,0,0,0
F0315,0,0,0,0,0
F0316,1,0,1,0,0
F0317,0,0,0,0,0
F0318,0,0,0,0,0
F0319,0,0,1,0,0
F0320,0,0,0,0,0
F0321,1,0,1,0,0
F0322,0,0,0,0,0
F0323,0,0,0,0,0
F0324,0,0,0,0,0
F0325,0,1,0,0,0
F0326,0,0,0,0,0
F0327,0,0,0,0,0
F0328,0,0,0,0,0
F0329,0,0,0,0,0
F0330,1,0,0,0,0
F0331,0,0,1,0,0
F0332,0,0,0,0,0
F0333,0,0,0,0,0
F0334,0,0,0,0,0
F0335,0,1,1,0,1
F0336,0,0,0,0,0
F0337,0,0,0,0,0
F0338,0,0,0,0,0
F0339,1,1,1,0,0
F0340,0,0,0,0,0
F0341,0,1,1,0,0
F0342,0,0,0,0,0
F0343,1,0,1,1,0
F0344,0,0,0,0,0
F0345,0,0,0,0,0
F0346,0,0,0,0,0
F0347,0,0,0,0,0
F0349,0,0,0,0,0
F0350,0,0,0,0,0
F0351,0,0,1,0,0
F0352,0,1,1,0,0
F0353,0,0,0,0,0
F0354,0,0,0,0,0
F0355,1,0,1,0,0
F0356,0,0,0,0,0
F0357,1,0,0,0,0
F0358,0,0,0,0,0
F0359,0,0,0,0,0
F0360,1,0,1,0,1
F0361,0,0,0,0,0
F0362,0,0,0,0,0
F0363,0,0,0,0,0
F0364,1,0,1,0,0
F0365,0,0,0,0,0
F0366,0,0,0,0,0
F0367,1,0,1,0,0
F0368,0,0,0,0,0
F0369,0,0,0,0,0
F0370,0,0,0,0,0
F0371,0,0,0,0,0
F0372,0,1,1,0,0
F0373,1,0,1,0,1
F0374,0,0,0,0,0
F0375,0,0,0,0,0
F0376,1,0,1,0,1
F0378,0,0,0,0,0
F0379,1,0,1,0,0
F0380,0,0,0,0,0
F0381,0,0,1,0,0
F0382,0,0,0,0,0
F0383,1,0,1,0,0
F0384,0,0,1,0,0
F0385,0,0,1,0,1
F0386,0,0,0,0,0
F0387,0,0,0,0,0
F0388,1,0,0,0,0
F0389,0,0,0,0,0
F0390,0,0,0,0,0
F0391,0,0,0,0,0
F0392,1,0,1,0,0
F0394,0,0,0,0,0
F0396,1,1,1,0,0
F0397,0,0,0,0,0
F0398,0,0,0,0,0
F0399,0,0,0,0,0
F0400,0,0,0,0,0
